Head,Relation,Tail
기저세포암,related_to,남성
기저세포암,related_to,환자
기저세포암,related_to,3mm
기저세포암,related_to,크기의
기저세포암,related_to,경계
기저세포암,related_to,뚜렷
기저세포암,has_symptom,반투명한
기저세포암,related_to,광택
기저세포암,related_to,결절
기저세포암,related_to,관찰되며
기저세포암,related_to,표면
기저세포암,related_to,미세한
기저세포암,related_to,혈관
기저세포암,related_to,보이고
기저세포암,related_to,궤양이나
기저세포암,related_to,딱지
기저세포암,related_to,형성
기저세포암,has_symptom,반복적
기저세포암,related_to,나타나고
기저세포암,related_to,가운데
기저세포암,related_to,움푹
기저세포암,related_to,패인
기저세포암,related_to,병변
기저세포암,related_to,주소로
기저세포암,related_to,내원하였다
기저세포암,related_to,병변의
기저세포암,related_to,가장
기저세포암,related_to,가능성
기저세포암,has_symptom,진단
기저세포암,related_to,무엇인가
기저세포암,related_to,기저세포암
기저세포암,related_to,지루
기저세포암,has_symptom,각화증
기저세포암,related_to,편평세포암
기저세포암,related_to,악성
기저세포암,related_to,흑색종
기저세포암,related_to,피부
기저세포암,related_to,섬유종
주사,related_to,여성
주사,related_to,안면
주사,has_symptom,구진과
주사,related_to,농포
주사,related_to,생기며
주사,has_symptom,모세혈관확장증
주사,has_symptom,동반한
주사,has_symptom,홍반
주사,has_symptom,증상
주사,related_to,호소하며
주사,related_to,내원하였다
주사,related_to,병변
주사,related_to,주로
주사,related_to,얼굴의
주사,related_to,중심부인
주사,related_to,코와
주사,related_to,부위
주사,related_to,집중되며
주사,related_to,주위에
주사,related_to,병변
주사,related_to,발생하지
주사,related_to,않는다
주사,related_to,감정적인
주사,related_to,변화와
주사,related_to,온도
주사,related_to,변화
주사,related_to,민감하여
주사,related_to,따갑고
주사,related_to,아픈
주사,has_symptom,증상
주사,related_to,호소하기도
주사,related_to,한다
주사,related_to,환자의
주사,has_symptom,진단명
주사,related_to,가장
주사,related_to,적절한
주사,related_to,무엇인가
주사,related_to,접촉성
주사,has_symptom,피부염
주사,related_to,주사
주사,related_to,지루성
주사,has_symptom,피부염
주사,has_symptom,홍반성
주사,related_to,루푸스
주사,related_to,여드름
각질형성세포,related_to,표피의
각질형성세포,related_to,대부분
각질형성세포,related_to,구성하며
각질형성세포,related_to,여러
각질형성세포,related_to,단계의
각질형성세포,related_to,분화
각질형성세포,related_to,과정
각질형성세포,related_to,거쳐
각질형성세포,related_to,최종적
각질형성세포,has_symptom,각질층
각질형성세포,related_to,세포로
각질형성세포,related_to,분화하
각질형성세포,related_to,세포
각질형성세포,related_to,무엇인가
각질형성세포,related_to,멜라닌세포
각질형성세포,has_symptom,각질형성세포
각질형성세포,related_to,랑게르한스세포
각질형성세포,related_to,메르켈세포
각질형성세포,related_to,섬유아세포
열성홍반,related_to,여자
열성홍반,related_to,허벅지
열성홍반,related_to,발생한
열성홍반,related_to,그물모양의
열성홍반,related_to,갈색
열성홍반,related_to,색소침착
열성홍반,related_to,주소로
열성홍반,related_to,내원하였다
열성홍반,related_to,환자
열성홍반,related_to,오래전
열성홍반,related_to,뜨거운
열성홍반,related_to,온돌바닥
열성홍반,related_to,지속적
열성홍반,related_to,노출되어
열성홍반,related_to,왔다고
열성홍반,related_to,하였다
열성홍반,related_to,환자의
열성홍반,has_symptom,진단
열성홍반,related_to,가장
열성홍반,related_to,가능성
열성홍반,related_to,것은
열성홍반,has_symptom,열성홍반
열성홍반,has_symptom,접촉피부염
열성홍반,has_symptom,다형홍반
열성홍반,related_to,건선
열성홍반,has_symptom,백반증
IL-5,related_to,만성
IL-5,has_symptom,아토피피부염
IL-5,related_to,환자
IL-5,has_symptom,증가
IL-5,related_to,보이며
IL-5,related_to,활성
IL-5,related_to,T세포와
IL-5,related_to,비만세포
IL-5,related_to,주로
IL-5,related_to,분비되고
IL-5,related_to,호산구의
IL-5,related_to,발달과
IL-5,related_to,생존
IL-5,related_to,관여하
IL-5,related_to,사이토카인
