Head,Relation,Tail
전신홍반루푸스,related_to,여성
전신홍반루푸스,related_to,얼굴
전신홍반루푸스,has_symptom,반복적
전신홍반루푸스,has_symptom,홍반성
전신홍반루푸스,has_symptom,발진
전신홍반루푸스,related_to,발생하여
전신홍반루푸스,related_to,내원하였다
전신홍반루푸스,has_symptom,발진
전신홍반루푸스,related_to,햇빛
전신홍반루푸스,related_to,노출될
전신홍반루푸스,related_to,악화되며
전신홍반루푸스,related_to,침범하지
전신홍반루푸스,related_to,않고
전신홍반루푸스,related_to,양쪽
전신홍반루푸스,related_to,나비
전신홍반루푸스,related_to,모양
전신홍반루푸스,related_to,나타난다고
전신홍반루푸스,related_to,한다
전신홍반루푸스,related_to,다음
전신홍반루푸스,related_to,환자
전신홍반루푸스,has_symptom,진단
전신홍반루푸스,related_to,가장
전신홍반루푸스,related_to,가능성
전신홍반루푸스,related_to,것은
전신홍반루푸스,has_symptom,전신홍반루푸스SLE
전신홍반루푸스,related_to,주사Rosacea
전신홍반루푸스,related_to,아토피
전신홍반루푸스,has_symptom,피부염
전신홍반루푸스,related_to,알레르기성
전신홍반루푸스,related_to,접촉성
전신홍반루푸스,has_symptom,피부염
전신홍반루푸스,related_to,지루성
전신홍반루푸스,has_symptom,피부염
국소성,related_to,남성
국소성,related_to,손바닥
국소성,related_to,발바닥
국소성,has_symptom,반복적
국소성,has_symptom,홍반
국소성,has_symptom,무균성
국소성,related_to,농포
국소성,related_to,발생하며
국소성,related_to,과각화
국소성,has_symptom,각질
국소성,has_symptom,동반됩니다
국소성,related_to,손바닥에서
국소성,related_to,큰어귀Thenar
국소성,related_to,새끼어귀Hypothenar
국소성,related_to,손바닥
국소성,related_to,중앙
국소성,related_to,부위
국소성,has_symptom,증상
국소성,related_to,나타나고
국소성,related_to,발바닥에서
국소성,related_to,앞꿈치
국소성,related_to,뒤꿈치
국소성,related_to,중앙
국소성,related_to,부위
국소성,related_to,유사한
국소성,has_symptom,증상
국소성,related_to,관찰됩니다
국소성,related_to,농포
